tremor |  tremor, oris m
tremulus |  tremulus, a, um поэт.
Trepalum |  Trepal(um, i n
trepidanter |  trepidanter adv.
trepidatio |  trepidatio, onis f
trepide |  trepide adv.
trepido |  trepido, avi, atum, are
trepidus |  trepidus, a, um поэт.
tres |  tres ( арх.
Trescatylum |  Trescatyl(um, i n
Tresochinum |  Tresochin(um, i n
tresviri |  tresviri, orum m
Tretaminum |  Tretamin(um, i n
Trethylenum |  Trethylen(um, i n
Treventixum |  Treventix(um, i n
Treveri |  Treveri (Treviri), orum m
Trevintixum |  Trevintix(um, i n
Triacetyloleandomycinum |  Triacetyloleandomycin(um, i n
Triadenylum |  Triadenyl(um, i n
Triamcinolonum |  Triamcinolon(um, i n
Triamcortum |  Triamcort(um, i n
Triamterenum |  Triamteren(um, i n
Triamterilum |  Triamteril(um, i n
triangularis |  triangularis, e анат.
triangulum |  triangulum, i n
Trianisoestrolum |  Trianisoestrol(um, i n
triarii |  triarii, orum m
triaxonalis |  triaxonalis, e биолог.
Tribenozidum |  Tribenozid(um, i n
tribolus |  tribolus (tribulus), i m
tribuarius |  tribuarius, a, um
tribulis |  tribulis, is m
tribulum |  tribulum, i n
tribulus |  tribulus
tribunal |  tribunal, alis n
tribunatus |  tribunatus, us m
tribunicius |  I tribunicius, a, um m
tribunus |  tribunus, i m
tribuo |  tribuo, bui, butum, ere
tribus |  tribus, us f
tributarius |  tributarius, a, um
tributim |  tributim adv.
tributum |  tributum, i n
tributus |  I tributus, a, um part.
triceni |  triceni, ae, a gen.
triceps |  triceps, ipitis
tricesimus |  tricesimus (trigesimus), a, um
trichalgia |  trichalgia, ae f
trichatrophia |  trichatrophia, ae f
Trichazolum |  Trichazol(um, i n
Trichexum |  Trichex(um, i n
trichila |  trichila, ae f
Trichloraethylenum |  Trichloraethylen(um, i n
Trichloranum |  Trichloran(um, i n
Trichlorathylenum |  Trichlorathylen(um, i n
Trichlorenum |  Trichloren(um, i n
trichocephalosis |  trichocephalosis, is f
Trichocephalus |  Trichocephalus, i m
Trichocidum |  Trichocid(um, i n
Trichofuronum |  Trichofuron(um, i n
trichoma |  trichoma, atis n
trichomycosis |  trichomycosis, is f
trichopathia |  trichopathia, ae f
Trichopolum |  Trichopol(um, i n
trichorrhoea |  trichorrhoea, ae f
trichosis |  trichosis, is f
tricies |  tricies (triciens) adv.
tris |  tris
Trisaminolum |  Trisaminol(um, i n
Trisaminum |  Trisamin(um, i n
Trisbufferum |  Trisbuffer(um, i n
Trisedylum |  Trisedyl(um, i n
Trispanum |  Trispan(um, i n
triste |  triste adv.
tristis |  tristis, e поэт.
tristitia |  tristitia, ae f
trisulcus |  trisulcus, a, um
triticeus |  triticeus, a, um анат.
triticum |  triticum, i n
Triton |  Triton, onis m
tritura |  tritura, ae f
tritus |  tritus, a, um поэт.
triumphalis |  triumphalis, e
triumpho |  triumpho, avi, atum, are поэт.
triumphus |  triumphus ( арх.
triumvir |  triumvir, iri m
triumviralis |  triumviralis, e
triumviratus |  triumviratus, us m
Trivasolum |  Trivasol(um, i n
trivium |  trivium, i n
trivius |  trivius, a, um
trochanter |  trochanter, eris m
trochantericus |  trochantericus, a, um анат.
Trochinum |  Trochin(um, i n
trochlea |  trochlea, ae f
trochlearis |  trochlearis, e анат.
trochoides |  trochoides, is
trochus |  trochus, i m
Trocinatum |  Trocinat(um, i n
Troformonum |  Troformon(um, i n
Troglodytae |  Troglodytae, arum m
Troia |  Troia, ae f
Trojani |  Trojani, orum m
Tromasedanum |  Tromasedan(um, i n
Trombantinum |  Trombantin(um, i n
Trombarinum |  Trombarin(um, i n
Trombexum |  Trombex(um, i n
Trombolysanum |  Trombolysan(um, i n
Trombosanum |  Trombosan(um, i n
Trombosolum |  Trombosol(um, i n
Trombostopum |  Trombostop(um, i n
Tropacinum |  Tropacin(um, i n
tropaeum |  tropaeum, i n
Tropaphenum |  Tropaphen(um, i n
trophoblastus |  trophoblastus, i m
trophocyti |  trophocyti, orum m
Tros |  Tros, Trois m
trossuli |  trossuli, orum m
Troxidonum |  Troxidon(um, i n
Troxilanum |  Troxilan(um, i n
trucidatio |  trucidatio, onis f
trucido |  trucido, avi, atum, are поэт.
truculenter |  truculenter adv.
truculentus |  truculentus, a, um
trudis |  trudis, is f
trudo |  trudo, trusi, trusum, ere поэт.
trulla |  trulla, ae f
trunco |  trunco, avi, atum, are
truncus |  I truncus, a, um m
trutina |  trutina, ae f
trux |  trux, trucis
Truxalum |  Truxal(um, i n
Truxilum |  Truxil(um, i n
Trychomyces |  Trychomyces, etis f
Tryenum |  Tryen(um, i n
Tryphthazinum |  Tryphthazin(um, i n
Tryptizolum |  Tryptizol(um, i n
Tsalolum |  Tsalol(um, i n
tu |  tu, tui pl.
tuba |  tuba, ae f
Tubadilum |  Tubadil(um, i n
tubalis |  tubalis, e анат.
Tubarinum |  Tubarin(um, i n
tubarius |  tubarius, a, um анат.
Tubazidum |  Tubazid(um, i n
tuber |  tuber, eris n
tuberalis |  tuberalis, e анат.
Tubercazonum |  Tubercazon(um, i n
tubercularis |  tubercularis, e анат.
tuberculosus |  tuberculosus, a, um мед.
tuberculum |  tuberculum, i n
tuberositas |  tuberositas, atis f
tuberosus |  tuberosus, a, um анат.
tubicen |  tubicen, inis m
tubilustria |  tubilustria, ium n
Tubocuranum |  Tubocuran(um, i n
tuboovaricus |  tuboovaricus, a, um анат.
Tubopasum |  Tubopas(um, i n
tubulus |  tubulus, i m
tubus |  tubus, i m
Tucodilum |  Tucodil(um, i n
tueor |  tueor, tuitus sum, tueri
tugurium |  tugurium, i n
Tullius |  Tullius, a, um
tum |  tum adv.
tumefacio |  tumefacio, feci, factum, ere
tumeo |  tumeo, --, --, ere поэт.
tumesco |  tumesco, tumui, --, ere
tumidus |  tumidus, a, um поэт.
tumor |  tumor, oris m
tumulo |  tumulo, avi, atum, are
tumulosus |  tumulosus, a, um
tumultuarius |  tumultuarius, a, um
tumultuatio |  tumultuatio, onis f
tumultuor |  tumultuor, atus sum, ari
tumultuose |  tumultuose adv.
tumultuosus |  tumultuosus, a, um
tumultus |  tumultus, us m
tumulus |  tumulus, i m
tunc |  tunc adv.
tundo |  tundo, tutudi, tunsum (tusum), ere
tunica |  tunica, ae f
tunicatus |  tunicatus, a, um
turba |  turba, ae f
turbamentum |  turbamentum, i n
turbate |  turbate adv.
turbatio |  turbatio, onis f
turbator |  turbator, oris m
turbatus |  turbatus, a, um
turbide |  turbide adv.
turbidum |  turbidum, i n
turbidus |  turbidus, a, um
turbineus |  turbineus, a, um
turbo |  I turbo, avi, atum, are поэт.
turbulente |  turbulente (turbulenter) adv.
turbulentus |  turbulentus, a, um
turcicus |  turcicus, a, um анат.
turdus |  turdus, i m
tureus |  tureus, a, um
turfa |  turfa, ae f
turgeo |  turgeo, tursi, --, ere
turgesco |  turgesco, --, --, ere
turgidus |  turgidus, a, um поэт.
turibulum |  turibulum, i n
turicremus |  turicremus, a, um
turifer |  turifer, era, erum
turilegus |  turilegus, a, um
turma |  turma, ae f
turmales |  turmales, ium m
turmatim |  turmatim adv.
Turnus |  Turnus, i m
turpe |  turpe, is n
turpis |  turpis, e
turpiter |  turpiter adv.
turpitudo |  turpitudo, inis f
turpo |  turpo, avi, atum, are
turriger |  turriger, era, erum
turris |  turris, is f
turritus |  turritus, a, um поэт.
turtur |  turtur, uris m
tus |  tus, turis n
Tusci |  Tusci, orum m
Tuscodinum |  Tuscodin(um, i n
Tusculanum |  Tusculanum, i n
Tusculum |  Tusculum, i m
Tussilago |  Tussilago, inis f
tussio |  tussio, --, --, ire
tussis |  tussis, is f
tutamen |  tutamen, inis n
tutamentum |  tutamentum, i n
tute |  I tute adv.
tutela |  tutela, ae f
tuto |  tuto adv.
tutor |  I tutor, atus sum, ari m
tutum |  tutum, i n
tutus |  tutus, a, um
tuus |  tuus, a, um
Tylciprinum |  Tylciprin(um, i n
Tylenolum |  Tylenol(um, i n
Tylinalum |  Tylinal(um, i n
tympanicus |  tympanicus, a, um анат.
tympanomastoideus |  tympanomastoideus, a, um анат.
tympanosquamosus |  tympanosquamosus, a, um анат.
tympanostapedius |  tympanostapedius, a, um анат.
tympanum |  tympanum, i n
Tyndareus |  Tyndareus (=Tyndare^us), ei m
typhlatonia |  typhlatonia, ae f
typhlectasia |  typhlectasia, ae f
typhlitis |  typhlitis, idis f
typhlostenosis |  typhlostenosis, is f
typhlotomia |  typhlotomia, ae f
Typhoeus |  Typhoeus (Typhoe^us), ei (eos) m
Typhomycinum |  Typhomycin(um, i n
tyrannice |  tyrannice adv.
tyrannicus |  tyrannicus, a, um
tyrannis |  tyrannis, idis f
tyrannus |  tyrannus, i m
Tyras |  Tyra(s), ae m
tyropatina |  tyropatina, ae f
Tyros |  Tyros (-us), i f
Tyrrheni |  Tyrrheni, orum m
